Id,Date,Open,High,Low,Close,Indices
341,18-Jul-22,1450,1493.6,1448.05,1489.9,INFY
342,19-Jul-22,1471.55,1486.85,1470.1,1484.15,INFY
343,20-Jul-22,1501.25,1525.8,1500,1515.3,INFY
344,21-Jul-22,1517,1535.45,1503.1,1532.9,INFY
345,22-Jul-22,1534,1540,1492.15,1506.3,INFY
346,25-Jul-22,1480.1,1517.15,1480.1,1503.6,INFY
347,26-Jul-22,1496.65,1496.65,1445,1451.15,INFY
348,27-Jul-22,1451,1473,1445,1471.05,INFY
349,28-Jul-22,1496.4,1524.45,1489.85,1517.4,INFY
350,29-Jul-22,1532.8,1555.7,1528,1549.7,INFY
351,01-Aug-22,1564,1564,1537.9,1551.05,INFY
352,02-Aug-22,1546.55,1547,1528.35,1543.6,INFY
353,03-Aug-22,1549,1570,1539.9,1566.1,INFY
354,04-Aug-22,1587.5,1603.85,1574.95,1599.9,INFY
355,05-Aug-22,1608.4,1625.7,1602.3,1616.65,INFY
356,08-Aug-22,1617,1622,1596,1619.4,INFY
357,10-Aug-22,1621.2,1621.2,1588.1,1602.45,INFY
358,11-Aug-22,1630,1631.35,1616,1619.95,INFY
359,12-Aug-22,1613.3,1614,1590.15,1594.1,INFY
360,16-Aug-22,1609,1609,1591.1,1596.45,INFY
361,17-Aug-22,1596.45,1612,1585,1606.25,INFY
362,18-Aug-22,1594.1,1598.2,1574,1582.95,INFY
363,19-Aug-22,1585.3,1604.9,1585.1,1597.1,INFY
364,22-Aug-22,1586,1599,1574,1575.65,INFY
365,23-Aug-22,1548,1554.5,1533,1542.4,INFY
366,24-Aug-22,1535,1546,1531,1537.5,INFY
367,25-Aug-22,1548,1548.7,1513.75,1518.15,INFY
368,26-Aug-22,1535.15,1544.95,1517.45,1521.55,INFY
369,29-Aug-22,1468.55,1468.55,1450,1461.75,INFY
370,30-Aug-22,1473.1,1496.1,1466,1492.95,INFY
371,01-Sep-22,1460.05,1468.1,1451.05,1464.2,INFY
372,02-Sep-22,1478,1478,1448,1453,INFY
373,05-Sep-22,1451,1467,1446.35,1461.3,INFY
374,06-Sep-22,1461.3,1470,1445.45,1455.1,INFY
375,07-Sep-22,1440,1465.75,1438.05,1457.65,INFY
376,08-Sep-22,1475,1481.1,1463.6,1475.9,INFY
377,09-Sep-22,1488,1520,1480,1511.65,INFY
378,12-Sep-22,1525.8,1545.9,1521.15,1536.2,INFY
379,13-Sep-22,1551.9,1553,1541.3,1544.95,INFY
380,14-Sep-22,1497,1498.95,1472,1475.4,INFY
381,15-Sep-22,1475,1475.2,1429.05,1432.8,INFY
382,16-Sep-22,1425,1425,1368.35,1377.05,INFY
383,19-Sep-22,1392,1406,1380.6,1390.3,INFY
384,20-Sep-22,1407.95,1413.55,1385.1,1388.55,INFY
385,21-Sep-22,1379.9,1388.8,1368.4,1377.25,INFY
386,22-Sep-22,1366.35,1383.95,1360,1367.95,INFY
387,23-Sep-22,1367.5,1394.8,1362,1365.45,INFY
388,26-Sep-22,1360,1399.45,1355,1380.25,INFY
389,27-Sep-22,1393.45,1406.5,1378,1393.55,INFY
390,28-Sep-22,1379,1405.85,1377,1394.7,INFY
391,29-Sep-22,1404.9,1409.85,1393,1398.65,INFY
392,30-Sep-22,1388.95,1419.3,1376,1413.45,INFY
393,03-Oct-22,1412,1412,1386,1393.75,INFY
394,04-Oct-22,1419.7,1432.25,1414,1429.4,INFY
395,06-Oct-22,1445,1459.8,1444.1,1455.15,INFY
396,07-Oct-22,1446.35,1457.85,1440.15,1451.2,INFY
397,10-Oct-22,1426.35,1465,1426.35,1462.65,INFY
398,11-Oct-22,1462.65,1479.65,1420.1,1423.8,INFY
399,12-Oct-22,1437,1441.1,1413.55,1428.7,INFY
400,13-Oct-22,1431,1437.95,1415,1419.9,INFY
401,14-Oct-22,1485,1494,1467.25,1474.25,INFY
