date,open,high,low,close,volume,Name
13-01-2005,2678.75,2722.05,2667.2,2710.2,13241991,8013900000
14-01-2005,2710.65,2725.5,2666.55,2692.75,9299825,5156100000
17-01-2005,2696.25,2733.2,2639,2712.3,10186332,5268600000
18-01-2005,2723.25,2759.2,2703,2721.95,12698803,6229300000
19-01-2005,2717,2751.65,2711.1,2719.2,7487269,3752800000
20-01-2005,2717.1,2717.1,2667.05,2702.4,10350671,5208500000
24-01-2005,2701.75,2702.4,2627,2640.4,13528308,6553900000
25-01-2005,2632.8,2668.9,2583.25,2663.55,13651152,6142700000
27-01-2005,2697.6,2729.95,2682.15,2720.5,14810823,7166600000
28-01-2005,2729.25,2812.1,2717.1,2806.25,12950116,6537100000
31-01-2005,2807.95,2869.55,2804.55,2849.4,12184494,6935100000
01-02-2005,2852.7,2874.75,2825.15,2834.25,13284010,7293500000
02-02-2005,2842.2,2875.5,2819.7,2827.25,8175180,4315100000
03-02-2005,2829.65,2873.7,2825.8,2862.25,9571439,4812500000
04-02-2005,2912.35,2912.35,2849.9,2870.3,9332059,4303700000
07-02-2005,2877.5,2889.95,2807.35,2816,11086725,6583000000
08-02-2005,2825.85,2835.3,2805.15,2827.3,9160250,4642800000
09-02-2005,2828.15,2852.25,2828.15,2836.25,8373826,3223400000
10-02-2005,2836.3,2836.3,2807.25,2819.9,6133062,2518600000
11-02-2005,2842.35,2875.1,2833.1,2871.75,11519227,6200800000
14-02-2005,2897.9,2957.55,2897.9,2944.15,11257726,6533300000
15-02-2005,2943.2,2943.2,2905.9,2930.5,9140150,4944100000
16-02-2005,2931.6,2958.25,2907.85,2924.4,9514086,5138500000
17-02-2005,2923.4,2923.4,2873.55,2907.3,7764471,4523200000
18-02-2005,2904.3,2913.85,2881.9,2890.3,5699138,2602700000
21-02-2005,2891.9,2891.9,2844.9,2856.75,7678830,3544900000
22-02-2005,2867.4,2881,2838.55,2874.15,6684228,3315200000
23-02-2005,2872.35,2872.35,2843.45,2849.95,6303559,2944600000
24-02-2005,2855.3,2876.25,2848.15,2854.7,7468255,3995900000
25-02-2005,2851.6,2882.95,2837.2,2854.7,8704943,5115700000
28-02-2005,2856.6,2925.25,2822,2919.05,8559000,5889300000
01-03-2005,2918.35,2918.35,2842.55,2848.2,10236849,5524800000
02-03-2005,2849.8,2875.15,2831.65,2855.75,8473159,5028400000
03-03-2005,2856.05,2917.95,2855.35,2907.15,9839820,5654700000
04-03-2005,2911.85,2952.15,2911.85,2942.55,15419958,6934700000
07-03-2005,2947.25,2964.3,2935.75,2958.55,11106347,5142000000
